100.615	122.6
102.568	122
104.518	131
106.471	128
108.423	130
110.372	124
112.323	122.4
114.272	121.6
116.222	119.4
118.172	122.8
120.12	117.6
122.069	117.4
124.015	120.8
125.964	122.6
127.91	121.4
129.857	115.6
131.802	114.4
133.749	111.6
135.693	113.6
137.639	111.6
139.582	116
141.527	110
143.47	110.6
145.414	103.4
147.356	105
149.297	105
151.24	108
153.181	106.4
155.123	104.6
157.063	103
159.002	100.8
160.943	94.4
162.881	103.8
164.82	98.4
166.759	96.2
168.697	103.8
170.634	93.4
172.57	96.4
174.508	97.2
176.444	95.6
178.379	93.6
180.314	92
182.249	95.6
184.185	96
186.118	96
188.052	94.2
189.985	95
191.917	92.2
193.849	94.6
195.781	91.6
197.714	92.8
199.645	91.6
201.575	93.4
203.505	91.4
205.435	90.6
207.364	90.4
209.293	92
211.222	92.2
213.15	89.4
215.077	96.2
217.005	94.8
218.931	94.4
220.858	88.4
222.784	89
224.71	88.8
226.635	89.6
228.558	90.2
230.482	89.8
232.406	93.8
234.33	90.2
236.253	85.6
238.176	91
240.098	95.4
242.018	90.6
243.94	92.2
245.861	88.6
247.782	86.8
249.701	95.8
251.621	88.8
253.54	86.6
255.46	90.8
257.376	90
259.295	89.6
261.213	86.8
263.129	89.6
265.046	89
266.963	89.8
268.877	91.6
270.793	91.2
272.707	88.4
274.622	97
276.537	87.4
278.45	91
280.364	92.6
282.275	93.2
284.189	90
286.1	97.6
288.012	94.2
289.922	95.8
291.834	93.8
293.743	98.6
295.654	94.6
297.563	94.4
299.471	99.4
301.38	98.8
303.288	94.6
305.197	94.6
307.103	89.6
309.009	91.6
310.917	92.6
312.823	89.8
314.728	91.4
316.634	84.4
318.538	87.8
320.442	90
322.345	90
324.251	87.8
326.153	86.6
328.055	82.6
329.957	81.6
331.859	90.4
333.762	84.2
335.662	83.4
337.563	84.6
339.462	85.4
341.362	89.4
343.261	83
345.16	83
347.058	83.2
348.958	87.8
350.855	84.2
352.752	86
354.649	83
356.545	84.6
358.441	78.8
360.337	80.4
362.232	86.8
364.127	85.4
366.019	82.4
367.913	87.4
369.807	84.2
371.7	84.8
373.593	87.6
375.485	87.4
377.377	84.4
379.269	88.8
381.158	87.4
383.049	83.2
384.94	83.2
386.83	83.8
388.719	90.4
390.607	88.6
392.496	89.2
394.384	91
396.272	91
398.158	94.2
400.045	90.6
401.932	97.6
403.817	95.4
405.703	99.4
407.587	93.8
409.472	93.6
411.357	99.6
413.24	98.8
415.124	98.6
417.006	99
418.89	99.2
420.771	104
422.654	102.6
424.534	108.2
426.416	112
428.295	103.8
430.177	107.6
432.055	112.2
433.936	110.6
435.814	115.6
437.691	118.4
439.571	120.4
441.448	120
443.326	127.4
445.202	118.2
447.078	126.4
448.953	126.6
450.83	128.6
452.705	126.8
454.579	130.2
456.455	126
458.328	131.8
460.201	127.4
462.074	123.4
463.946	124.4
465.82	127
467.691	126.8
469.563	127.4
471.433	127
473.304	124.2
475.174	123
477.043	124
478.912	122.2
480.781	116
482.65	116.2
484.518	122.4
486.385	114.8
488.253	121.6
490.12	116.6
491.986	111.8
493.852	107.6
495.718	110.2
497.583	107
499.448	110.4
501.313	108.2
503.177	101.2
505.041	105.6
506.902	102.6
508.766	104.2
510.628	103.4
512.491	101.2
514.353	98.2
516.212	99.2
518.073	101.8
519.934	98.8
521.793	100.8
523.653	97.2
525.512	97.8
527.37	98.4
529.229	94.4
531.087	91.8
532.943	91.8
534.801	91.6
536.659	85.4
538.514	92.2
540.37	88
542.224	86.6
544.08	94.2
545.934	90
547.789	86.2
549.642	87.2
551.496	81
553.348	80.8
555.2	84.6
557.053	83.4
558.904	87.4
560.756	82
562.607	83.6
564.456	83
566.308	81.2
568.157	80
570.005	81.8
571.856	79.6
573.703	77.6
575.551	78.6
577.398	79.2
579.247	74.2
581.093	79
582.939	79.4
584.785	75
586.63	75.6
588.475	75.2
590.319	74.6
592.166	72
594.009	71.2
595.853	72.4
597.696	71.8
599.538	72.6
601.381	72.4
603.222	73
605.064	69.6
606.905	69.8
608.746	69.4
610.586	71.6
612.426	73.6
614.264	69.4
616.103	69
617.942	71.2
619.781	67.4
621.619	64.2
623.457	67.6
625.294	69.2
627.129	66.2
628.966	64
630.802	70
632.638	64.8
634.471	61.2
636.307	65.4
638.141	68.2
639.974	69.2
641.808	61
643.642	60.2
645.473	66.2
647.306	60.6
649.137	59
650.969	62
652.801	59.2
654.63	60.6
656.461	61
658.29	59.4
660.12	56
661.948	57.4
663.778	54
665.605	52.2
667.432	55.4
669.261	50.6
671.087	52
672.915	52.8
674.74	58.2
676.565	52.4
678.392	48.8
680.216	51.2
682.04	50.4
683.864	48.4
685.689	48.4
687.512	45.8
689.334	48.6
691.156	43.2
692.978	44.2
694.801	43.8
696.622	43.8
698.443	44.8
700.263	44.2
702.083	45.6
703.903	43.4
705.722	41.6
707.541	43.2
709.359	40.2
711.177	39.8
712.995	40.6
714.813	40.8
716.629	40.2
718.446	39.8
720.262	40.6
722.078	39.4
723.894	41.4
725.709	38.6
727.522	41
729.336	40.6
731.15	38.6
732.964	38.2
734.777	42.8
736.588	41
738.401	38
740.213	39.2
742.023	42.4
743.835	43.6
745.646	39.2
747.455	36.8
749.265	39.4
751.075	38.2
752.883	41
754.692	35.4
756.499	43.8
758.308	36
760.114	46.4
761.922	36.6
763.727	39
765.535	34.6
767.339	38.8
769.146	33
770.95	35
772.756	35.2
774.559	36.2
776.362	34.6
778.167	35.4
779.969	36.8
781.771	38.2
783.575	36.2
785.376	36.8
787.177	34.4
