t[s],Bpos,Bspd,A[cm²],Mma[Å²],P1[mN/m],P2[mN/m],T[°C],SP[V],pH,AD[V]
1030.93,172.033,10,284.1,,34.3419,0,-345.17,,-0.36,0
1032.06,172.219,10,283.57,,35.0599,0,-237.19,,-0.36,0
1033.18,172.406,10,283.02,,35.7488,0,-199.48,,-0.36,0
1034.3,172.594,10,282.48,,36.4482,0,-220.69,,-0.36,0
1035.42,172.778,10,281.94,,37.0961,0,-183.17,,-0.36,0
1036.42,172.948,10,281.45,,37.6515,0,-91.98,,-0.36,0
1037.55,173.137,10,280.9,,38.2412,0,-27.78,,-0.36,0
1038.67,173.324,10,280.36,,38.8517,0,56.39,,-0.36,0
1039.68,173.492,10,279.87,,39.3415,0,70.09,,-0.36,0
1040.8,173.676,10,279.34,,39.9461,0,127.64,,-0.36,0
1041.92,173.866,10,278.79,,40.5436,0,68.11,,-0.36,0
1043.05,174.053,10,278.25,,41.0807,0,-18.48,,-0.36,0
1044.17,174.24,10,277.7,,41.5646,0,55.95,,-0.36,0
1045.18,174.41,10,277.21,,42.0535,0,21.27,,-0.36,0
1046.2,174.576,10,276.73,,42.4583,0,-64.95,,-0.36,0
1047.21,174.748,10,276.23,,42.8984,0,-214.16,,-0.36,0
1048.22,174.916,10,275.74,,43.3331,0,-223.79,,-0.36,0
1049.22,175.083,10,275.26,,43.7072,0,-86.68,,-0.36,0
1050.34,175.27,10,274.72,,44.0827,0,53.58,,-0.36,0
1051.34,175.437,10,274.23,,44.4506,0,124.6,,-0.36,0
1052.47,175.622,10,273.69,,44.9281,0,-99.15,,-0.36,0
1053.59,175.811,10,273.15,,45.3589,0,-179.98,,-0.36,0
1054.71,175.998,10,272.61,,45.8415,0,-256.05,,-0.36,0
1055.83,176.187,10,272.06,,46.2686,0,-198.41,,-0.36,0
1056.95,176.374,10,271.52,,46.6177,0,-39.11,,-0.36,0
1058.08,176.56,10,270.98,,47.0214,0,204.29,,-0.36,0
1059.2,176.747,10,270.43,,47.4049,0,191.82,,-0.36,0
1060.32,176.935,10,269.89,,47.8025,0,164.74,,-0.36,0
1061.44,177.122,10,269.35,,48.2004,0,89.08,,-0.36,0
1062.45,177.289,10,268.86,,48.5457,0,-10.71,,-0.36,0
1063.57,177.476,10,268.32,,48.8787,0,-98.96,,-0.36,0
1064.57,177.645,10,267.83,,49.1671,0,-120.93,,-0.36,0
1065.69,177.833,10,267.29,,49.5632,0,-51.3,,-0.36,0
1066.82,178.022,10,266.74,,49.926,0,56.75,,-0.36,0
1067.94,178.212,10,266.18,,50.2207,0,-6.17,,-0.36,0
1068.95,178.377,10,265.71,,50.5456,0,41.91,,-0.36,0
1069.96,178.544,10,265.22,,50.8312,0,40.91,,-0.36,0
1071.08,178.73,10,264.68,,51.1315,0,177.19,,-0.36,0
1072.08,178.899,10,264.19,,51.4298,0,113.99,,-0.36,0
1073.2,179.085,10,263.65,,51.7116,0,-45.92,,-0.36,0
1074.33,179.274,10,263.11,,52.0351,0,-82.92,,-0.36,0
1075.45,179.459,10,262.57,,52.3242,0,-65.17,,-0.36,0
1076.57,179.649,10,262.02,,52.6294,0,-91.47,,-0.36,0
1077.69,179.836,10,261.47,,52.9492,0,-129.11,,-0.36,0
1078.81,180.024,10,260.93,,53.1736,0,53.22,,-0.36,0
1079.93,180.211,10,260.39,,53.5094,0,259.66,,-0.36,0
1080.94,180.377,10,259.91,,53.7695,0,170.53,,-0.36,0
1082.06,180.566,10,259.36,,54.0311,0,-53.54,,-0.36,0
1083.18,180.752,10,258.82,,54.3033,0,-155.34,,-0.36,0
1084.19,180.92,10,258.33,,54.5649,0,-112.33,,-0.36,0
1085.31,181.107,10,257.79,,54.875,0,-48,,-0.36,0
1086.44,181.295,10,257.24,,55.1485,0,63.93,,-0.36,0
1087.44,181.461,10,256.76,,55.3808,0,95.04,,-0.36,0
1088.44,181.63,10,256.27,,55.6096,0,8.2,,-0.36,0
1089.45,181.797,10,255.79,,55.8173,0,-80.21,,-0.36,0
1090.45,181.966,10,255.3,,56.0072,0,-36.54,,-0.36,0
1091.57,182.152,10,254.76,,56.2881,0,-80.7,,-0.36,0
1092.69,182.339,10,254.22,,56.5797,0,-241.32,,-0.36,0
1093.81,182.529,10,253.67,,56.7769,0,-199.34,,-0.36,0
1094.93,182.714,10,253.13,,57.0051,0,-38.18,,-0.36,0
1095.93,182.881,10,252.64,,57.1935,0,134.52,,-0.36,0
1097.05,183.068,10,252.1,,57.4397,0,118.41,,-0.36,0
1098.05,183.236,10,251.61,,57.6463,0,-4.95,,-0.36,0
1099.06,183.403,10,251.13,,57.865,0,-217.44,,-0.36,0
1100.06,183.568,10,250.65,,58.0333,0,-413.96,,-0.36,0
1101.19,183.755,10,250.11,,58.2378,0,-375.81,,-0.36,0
1102.3,183.944,10,249.56,,58.4583,0,-126.69,,-0.36,0
1103.31,184.109,10,249.08,,58.6517,0,15.85,,-0.36,0
1104.43,184.296,10,248.54,,58.8215,0,24.85,,-0.36,0
1105.56,184.485,10,247.99,,59.0052,0,18.07,,-0.36,0
1106.67,184.673,10,247.45,,59.1753,0,22.61,,-0.36,0
1107.8,184.861,10,246.9,,59.3619,0,-48.02,,-0.36,0
1108.92,185.049,10,246.36,,59.554,0,65.15,,-0.36,0
1109.92,185.213,10,245.88,,59.713,0,228.08,,-0.36,0
1110.93,185.385,10,245.38,,59.8552,0,170.53,,-0.36,0
1111.94,185.552,10,244.9,,59.9995,0,117.95,,-0.37,0
1112.95,185.719,10,244.41,,60.1581,0,-4.06,,-0.36,0
1113.95,185.89,10,243.92,,60.2647,0,93.32,,-0.37,0
1114.96,186.055,10,243.44,,60.4068,0,208.76,,-0.37,0
1115.97,186.228,10,242.94,,60.5475,0,41.32,,-0.37,0
1117.09,186.416,10,242.39,,60.6995,0,-40.67,,-0.37,0
1118.21,186.596,10,241.87,,60.8179,0,87.31,,-0.37,0
1119.22,186.769,10,241.37,,60.9127,0,176.67,,-0.37,0
1120.34,186.957,10,240.83,,61.0391,0,201.05,,-0.37,0
1121.34,187.123,10,240.34,,61.1183,0,97.86,,-0.37,0
1122.35,187.291,10,239.86,,61.2347,0,-127.3,,-0.37,0
1123.36,187.455,10,239.38,,61.3461,0,-325.63,,-0.37,0
1124.48,187.645,10,238.83,,61.4769,0,-260.1,,-0.37,0
1125.6,187.83,10,238.29,,61.5792,0,-15.94,,-0.37,0
1126.72,188.018,10,237.75,,61.6605,0,119.68,,-0.37,0
1127.84,188.207,10,237.2,,61.789,0,32.12,,-0.37,0
1128.97,188.392,10,236.66,,61.8899,0,-140.83,,-0.37,0
1130.09,188.58,10,236.12,,61.9717,0,-5.34,,-0.37,0
1131.21,188.768,10,235.57,,62.0887,0,110.99,,-0.37,0
1132.34,188.958,10,235.02,,62.1529,0,128.7,,-0.37,0
1133.34,189.122,10,234.55,,62.2518,0,69.37,,-0.37,0
1134.47,189.309,10,234,,62.3269,0,-95.34,,-0.37,0
1135.59,189.499,10,233.45,,62.4433,0,-193.51,,-0.37,0
1136.71,189.686,10,232.91,,62.5133,0,-33.69,,-0.37,0
1137.84,189.876,10,232.36,,62.5858,0,89.17,,-0.37,0
1138.96,190.06,10,231.82,,62.6697,0,47.05,,-0.37,0
1140.08,190.246,10,231.29,,62.7327,0,67.69,,-0.37,0
1141.2,190.435,10,230.74,,62.8188,0,-25.27,,-0.37,0
1142.21,190.605,10,230.24,,62.8633,0,-73.03,,-0.37,0
1143.33,190.789,10,229.71,,62.9297,0,-65.18,,-0.37,0
1144.45,190.976,10,229.17,,63.0299,0,-189.46,,-0.37,0
1145.57,191.163,10,228.63,,63.1128,0,-187.57,,-0.37,0
1146.57,191.332,10,228.14,,63.1828,0,-219.11,,-0.37,0
1147.7,191.519,10,227.59,,63.2238,0,-206.51,,-0.37,0
1148.82,191.705,10,227.06,,63.2909,0,-389.57,,-0.37,0
1149.82,191.877,10,226.56,,63.3458,0,-437.78,,-0.37,0
1150.95,192.063,10,226.02,,63.4307,0,-379.01,,-0.37,0
1151.95,192.231,10,225.53,,63.4648,0,-149.51,,-0.37,0
1153.07,192.419,10,224.98,,63.5412,0,-41.83,,-0.37,0
1154.19,192.606,10,224.44,,63.5853,0,60.62,,-0.37,0
1155.2,192.774,10,223.95,,63.6252,0,54.23,,-0.37,0
1156.2,192.938,10,223.48,,63.6974,0,168.29,,-0.37,0
1157.31,193.126,10,222.94,,63.7442,0,9.46,,-0.37,0
1158.31,193.294,10,222.45,,63.8116,0,-91.81,,-0.37,0
1159.32,193.46,10,221.97,,63.8775,0,-76.84,,-0.37,0
1160.43,193.649,10,221.42,,63.9371,0,143.54,,-0.37,0
1161.55,193.836,10,220.88,,64.0055,0,113.82,,-0.37,0
1162.68,194.024,10,220.33,,64.0509,0,-80.9,,-0.37,0
1163.68,194.19,10,219.85,,64.1241,0,-246.05,,-0.37,0
1164.68,194.355,10,219.37,,64.1676,0,-277.6,,-0.37,0
1165.81,194.545,10,218.82,,64.2272,0,-171.14,,-0.37,0
1166.93,194.729,10,218.28,,64.2943,0,-37.78,,-0.37,0
1167.93,194.899,10,217.79,,64.3516,0,-104.08,,-0.37,0
1168.93,195.065,10,217.31,,64.4096,0,-275.9,,-0.37,0
1170.06,195.252,10,216.77,,64.4668,0,-343.24,,-0.37,0
1171.18,195.44,10,216.23,,64.5393,0,-277.72,,-0.37,0
1172.19,195.611,10,215.73,,64.5706,0,-253.08,,-0.37,0
1173.19,195.778,10,215.24,,64.6299,0,-183.19,,-0.37,0
1174.19,195.942,10,214.77,,64.6895,0,-251.32,,-0.37,0
1175.19,196.11,10,214.28,,64.7098,0,-218.87,,-0.37,0
1176.19,196.278,10,213.79,,64.7782,0,-171.37,,-0.37,0
1177.2,196.447,10,213.3,,64.8145,0,-124.16,,-0.37,0
1178.21,196.615,10,212.82,,64.8747,0,-333.85,,-0.37,0
1179.22,196.781,10,212.34,,64.9263,0,-321.67,,-0.37,0
1180.23,196.952,10,211.84,,64.9708,0,-148.44,,-0.37,0
1181.35,197.14,10,211.3,,65.0323,0,1.26,,-0.37,0
1182.37,197.306,10,210.81,,65.0776,0,47.4,,-0.37,0
1183.37,197.477,10,210.32,,65.1219,0,28.03,,-0.37,0
1184.38,197.643,10,209.83,,65.1713,0,3.31,,-0.37,0
1185.5,197.829,10,209.3,,65.2146,0,41.46,,-0.37,0
1186.51,197.996,10,208.81,,65.266,0,95.32,,-0.37,0
1187.64,198.191,10,208.25,,65.3305,0,-10.29,,-0.37,0
1188.76,198.375,10,207.71,,65.3786,0,-248.57,,-0.37,0
1189.88,198.564,10,207.16,,65.4191,0,-98.49,,-0.37,0
1191,198.751,10,206.62,,65.4459,0,30.26,,-0.37,0
1192.01,198.919,10,206.13,,65.5001,0,-75,,-0.37,0
1193.01,199.084,10,205.66,,65.5245,0,-192.28,,-0.37,0
1194.13,199.273,10,205.11,,65.5721,0,-104.1,,-0.37,0
1195.25,199.46,10,204.57,,65.6127,0,72.01,,-0.37,0
1196.37,199.642,10,204.04,,65.6619,0,18,,-0.37,0
1197.37,199.809,10,203.55,,65.693,0,-145.5,,-0.37,0
1198.37,199.98,10,203.06,,65.7348,0,-331.28,,-0.37,0
1199.5,200.169,10,202.51,,65.7939,0,-356.34,,-0.37,0
1200.62,200.357,10,201.96,,65.8345,0,-186.18,,-0.37,0
1201.75,200.545,10,201.42,,65.8901,0,-123.07,,-0.37,0
1202.87,200.73,10,200.88,,65.94,0,-100.93,,-0.37,0
1203.87,200.898,10,200.39,,65.978,0,-236.07,,-0.37,0
1205,201.084,10,199.86,,66.028,0,-212.71,,-0.37,0
1206.12,201.271,10,199.31,,66.0502,0,-196.18,,-0.37,0
1207.12,201.441,10,198.82,,66.1151,0,-299.73,,-0.37,0
1208.24,201.625,10,198.29,,66.1213,0,-490.3,,-0.37,0
1209.37,201.812,10,197.74,,66.1654,0,-355.3,,-0.37,0
1210.49,202.001,10,197.2,,66.2233,0,-270.46,,-0.37,0
1211.61,202.188,10,196.65,,66.2802,0,-250.45,,-0.37,0
1212.61,202.355,10,196.17,,66.3424,0,-204.03,,-0.37,0
1213.73,202.544,10,195.62,,66.342,0,3.37,,-0.37,0
1214.85,202.73,10,195.08,,66.3987,0,-42.99,,-0.37,0
1215.97,202.918,10,194.54,,66.4221,0,7.52,,-0.37,0
1216.98,203.084,10,194.06,,66.4886,0,71.26,,-0.37,0
1217.98,203.251,10,193.57,,66.535,0,133.99,,-0.37,0
1219.1,203.439,10,193.03,,66.5573,0,188.07,,-0.37,0
1220.23,203.626,10,192.48,,66.6059,0,161.85,,-0.37,0
1221.35,203.814,10,191.94,,66.6426,0,15.49,,-0.37,0
1222.36,203.983,10,191.45,,66.6977,0,-285.78,,-0.37,0
1223.48,204.167,10,190.91,,66.7498,0,-370.55,,-0.37,0
1224.6,204.355,10,190.37,,66.803,0,-137.19,,-0.37,0
1225.72,204.544,10,189.82,,66.8172,0,-12.34,,-0.37,0
1226.84,204.73,10,189.28,,66.8503,0,-77.84,,-0.37,0
1227.97,204.919,10,188.74,,66.865,0,-255.72,,-0.37,0
1228.97,205.084,10,188.26,,66.911,0,-221.88,,-0.37,0
1230.09,205.273,10,187.71,,66.9701,0,-248.87,,-0.37,0
1231.1,205.443,10,187.22,,67.0241,0,-172.88,,-0.37,0
1232.22,205.632,10,186.67,,67.0714,0,-129.75,,-0.37,0
1233.23,205.798,10,186.19,,67.0853,0,-148.89,,-0.37,0
1234.35,205.985,10,185.64,,67.1578,0,-385.42,,-0.37,0
1235.47,206.171,10,185.1,,67.1991,0,-295.95,,-0.37,0
1236.47,206.339,10,184.62,,67.2635,0,-151.27,,-0.37,0
1237.59,206.525,10,184.08,,67.3104,0,38.97,,-0.37,0
1238.72,206.712,10,183.53,,67.3476,0,0.32,,-0.37,0
1239.84,206.901,10,182.99,,67.3882,0,34.61,,-0.37,0
1240.97,207.088,10,182.45,,67.4587,0,-80.82,,-0.37,0
1242.09,207.275,10,181.9,,67.5232,0,2.77,,-0.37,0
1243.11,207.447,10,181.4,,67.5485,0,56.57,,-0.37,0
1244.12,207.613,10,180.92,,67.6114,0,249.11,,-0.37,0
1245.12,207.78,10,180.44,,67.6481,0,113.94,,-0.37,0
1246.12,207.952,10,179.94,,67.6631,0,22.19,,-0.37,0
1247.12,208.117,10,179.46,,67.7084,0,-170.05,,-0.37,0
1248.24,208.304,10,178.92,,67.7146,0,1.69,,-0.37,0
1249.24,208.471,10,178.43,,67.7596,0,138.47,,-0.37,0
1250.37,208.66,10,177.89,,67.8085,0,173.86,,-0.37,0
1251.49,208.847,10,177.34,,67.8726,0,173.61,,-0.37,0
1252.62,209.035,10,176.8,,67.9095,0,237.8,,-0.37,0
1253.73,209.221,10,176.26,,67.9413,0,50.96,,-0.37,0
1254.74,209.388,10,175.78,,67.9674,0,-82.86,,-0.37,0
1255.86,209.576,10,175.23,,68.0491,0,-172.91,,-0.37,0
1256.98,209.765,10,174.68,,68.1513,0,-41.34,,-0.37,0
1258.11,209.951,10,174.14,,68.1674,0,-87.07,,-0.37,0
1259.11,210.117,10,173.66,,68.2171,0,-84.22,,-0.37,0
1260.23,210.306,10,173.11,,68.2121,0,-27.83,,-0.37,0
1261.23,210.471,10,172.63,,68.2595,0,22.01,,-0.37,0
1262.23,210.638,10,172.15,,68.293,0,-122.7,,-0.37,0
1263.35,210.826,10,171.6,,68.309,0,-345.66,,-0.37,0
1264.36,210.993,10,171.12,,68.3272,0,-273.26,,-0.37,0
1265.36,211.16,10,170.64,,68.3376,0,-144.1,,-0.37,0
1266.48,211.348,10,170.09,,68.3821,0,-155.38,,-0.37,0
1267.6,211.535,10,169.55,,68.3935,0,-143.56,,-0.37,0
1268.73,211.724,10,169,,68.4306,0,-2.62,,-0.37,0
1269.73,211.888,10,168.53,,68.4506,0,74.52,,-0.37,0
1270.73,212.058,10,168.03,,68.464,0,-17.22,,-0.37,0
1271.73,212.225,10,167.55,,68.4864,0,-23.01,,-0.37,0
1272.85,212.408,10,167.02,,68.5031,0,-6.48,,-0.37,0
1273.86,212.579,10,166.52,,68.5298,0,60.89,,-0.37,0
1274.99,212.768,10,165.97,,68.544,0,56.21,,-0.37,0
1276.11,212.957,10,165.43,,68.5822,0,57.59,,-0.37,0
1277.11,213.121,10,164.95,,68.6112,0,57.63,,-0.37,0
1278.23,213.309,10,164.4,,68.6372,0,-91.95,,-0.37,0
1279.23,213.476,10,163.92,,68.6405,0,-17.41,,-0.37,0
1280.23,213.641,10,163.44,,68.6652,0,-88.31,,-0.37,0
1281.35,213.831,10,162.89,,68.7021,0,26.8,,-0.37,0
1282.35,213.998,10,162.41,,68.7044,0,104.01,,-0.37,0
1283.47,214.184,10,161.87,,68.7269,0,85.6,,-0.37,0
